year,full_name,html_url,created_at,stargazers,forks,open_issues,language,description
2020,TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,65181,14535,92,Roff,所有小初高、大学PDF教材。
2020,bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,64826,11976,5,,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more"
2020,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,60477,5897,59,Python,"Financial data platform for analysts, quants and AI agents."
2020,FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,2020-08-27T21:12:14Z,57366,2859,183,Rust,Rust full node implementation of the Fuel v2 protocol.
2020,ultralytics/yolov5,https://github.com/ultralytics/yolov5,2020-05-18T03:45:11Z,56821,17432,44,Python,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
2020,Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,2020-04-11T09:21:31Z,55004,6000,87,Python,ALL IN ONE Hacking Tool For Hackers
2020,WerWolv/ImHex,https://github.com/WerWolv/ImHex,2020-11-10T14:27:00Z,52648,2338,326,C++,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM."
2020,sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,2020-06-04T11:01:37Z,52167,2901,414,Shell,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.
2020,AlistGo/alist,https://github.com/AlistGo/alist,2020-12-23T17:40:29Z,49029,7986,578,Go,"🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。"
2020,type-challenges/type-challenges,https://github.com/type-challenges/type-challenges,2020-07-23T14:33:11Z,47679,5213,33088,TypeScript,Collection of TypeScript type challenges with online judge
2020,bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,2020-04-13T16:17:51Z,47456,1568,660,JavaScript,</> htmx - high power tools for HTML
2020,bevyengine/bevy,https://github.com/bevyengine/bevy,2020-01-18T21:13:55Z,44684,4396,3273,Rust,A refreshingly simple data-driven game engine built in Rust
2020,NaiboWang/EasySpider,https://github.com/NaiboWang/EasySpider,2020-07-18T02:41:27Z,44096,5394,266,JavaScript,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。
2020,SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,2020-05-23T20:53:18Z,43463,3166,2,Python,Collection of Summer 2026 tech internships!
2020,helix-editor/helix,https://github.com/helix-editor/helix,2020-06-01T04:26:56Z,42991,3317,1431,Rust,A post-modern modal text editor.
2020,mingrammer/diagrams,https://github.com/mingrammer/diagrams,2020-02-02T15:23:24Z,42015,2720,382,Python,:art: Diagram as Code for prototyping cloud system architectures
2020,colinhacks/zod,https://github.com/colinhacks/zod,2020-03-07T20:59:08Z,41887,1819,247,TypeScript,TypeScript-first schema validation with static type inference
2020,siyuan-note/siyuan,https://github.com/siyuan-note/siyuan,2020-08-30T09:21:35Z,41335,2566,370,TypeScript,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang."
2020,logseq/logseq,https://github.com/logseq/logseq,2020-05-23T00:06:06Z,41070,2456,1034,Clojure,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: https://discuss.logseq.com/t/logseq-product-roadmap/34267"
2020,saadeghi/daisyui,https://github.com/saadeghi/daisyui,2020-11-28T22:57:27Z,40295,1609,50,Svelte,"🌼 🌼 🌼 🌼 🌼  The most popular, free and open-source Tailwind CSS component library"
2020,Raphire/Win11Debloat,https://github.com/Raphire/Win11Debloat,2020-10-27T22:26:59Z,39774,1542,27,PowerShell,"A simple, lightweight PowerShell script to remove pre-installed apps, disable telemetry, as well as perform various other changes to customize, declutter and improve your Windows experience. Win11Debloat works for both Windows 10 and Windows 11."
2020,charmbracelet/bubbletea,https://github.com/charmbracelet/bubbletea,2020-01-10T21:04:03Z,39592,1094,157,Go,A powerful little TUI framework 🏗
2020,trpc/trpc,https://github.com/trpc/trpc,2020-07-18T01:17:11Z,39562,1487,183,TypeScript,🧙‍♀️  Move Fast and Break Nothing. End-to-end typesafe APIs made easy. 
2020,freefq/free,https://github.com/freefq/free,2020-06-07T02:48:33Z,39485,5671,552,,翻墙、免费翻墙、免费科学上网、免费节点、免费梯子、免费ss/v2ray/trojan节点、蓝灯、谷歌商店、翻墙梯子
2020,gofiber/fiber,https://github.com/gofiber/fiber,2020-01-16T03:59:20Z,39228,1955,42,Go,⚡️ Express inspired web framework written in Go
2020,appsmithorg/appsmith,https://github.com/appsmithorg/appsmith,2020-06-30T04:07:36Z,39109,4458,4439,TypeScript,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API."
2020,pola-rs/polars,https://github.com/pola-rs/polars,2020-05-13T19:45:33Z,37475,2629,2729,Rust,"Extremely fast Query Engine for DataFrames, written in Rust"
2020,remotion-dev/remotion,https://github.com/remotion-dev/remotion,2020-06-23T19:49:10Z,37151,2272,79,TypeScript,🎥      Make videos programmatically with React
2020,CorentinTh/it-tools,https://github.com/CorentinTh/it-tools,2020-04-05T11:50:24Z,37138,4624,752,Vue,"Collection of handy online tools for developers, with great UX. "
2020,ManimCommunity/manim,https://github.com/ManimCommunity/manim,2020-05-19T02:37:13Z,36820,2659,452,Python,A community-maintained Python framework for creating mathematical animations. 
2020,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,36015,6463,11,Java,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）推荐免费ChatGPT使用网站
2020,juanfont/headscale,https://github.com/juanfont/headscale,2020-06-21T09:21:05Z,35534,1905,118,Go,"An open source, self-hosted implementation of the Tailscale control server"
2020,amruthpillai/reactive-resume,https://github.com/amruthpillai/reactive-resume,2020-03-25T14:08:22Z,35295,3876,48,TypeScript,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!"
2020,umami-software/umami,https://github.com/umami-software/umami,2020-07-17T07:59:00Z,35286,6474,137,TypeScript,"Umami is a modern, privacy-focused analytics platform. An open-source alternative to Google Analytics, Mixpanel and Amplitude."
2020,XTLS/Xray-core,https://github.com/XTLS/Xray-core,2020-11-09T11:23:10Z,35180,4966,43,Go,"Xray, Penetrates Everything. Also the best v2ray-core. Where the magic happens. An open platform for various uses."
2020,carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,2020-04-27T21:45:16Z,33640,1525,211,C++,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)"
2020,ajeetdsouza/zoxide,https://github.com/ajeetdsouza/zoxide,2020-03-05T13:11:40Z,33506,737,153,Rust,A smarter cd command. Supports all major shells.
2020,zeromicro/go-zero,https://github.com/zeromicro/go-zero,2020-08-07T15:37:57Z,32666,4280,306,Go,A cloud-native Go microservices framework with cli tool for productivity.
2020,backstage/backstage,https://github.com/backstage/backstage,2020-01-24T22:39:49Z,32632,7096,442,TypeScript,Backstage is an open framework for building developer portals
2020,openai/CLIP,https://github.com/openai/CLIP,2020-12-16T11:24:42Z,32606,3921,268,Jupyter Notebook,"CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image"
2020,qier222/YesPlayMusic,https://github.com/qier222/YesPlayMusic,2020-10-09T10:04:21Z,32582,4728,641,Vue,高颜值的第三方网易云播放器，支持 Windows / macOS / Linux :electron: 
2020,remix-run/remix,https://github.com/remix-run/remix,2020-10-26T19:57:28Z,32341,2734,51,TypeScript,"Build Better Websites. Create modern, resilient user experiences with web fundamentals."
2020,medusajs/medusa,https://github.com/medusajs/medusa,2020-01-18T13:39:04Z,32079,4071,146,TypeScript,The world's most flexible commerce platform.
2020,vbenjs/vue-vben-admin,https://github.com/vbenjs/vue-vben-admin,2020-07-11T02:29:21Z,31563,8594,95,Vue,"A modern vue admin panel built with Vue3, Shadcn UI, Vite, TypeScript, and Monorepo. It's fast!"
2020,tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,2020-10-18T16:23:12Z,31399,3907,228,Python,You like pytorch? You like micrograd? You love tinygrad! ❤️ 
