repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
XIU2__CloudflareSpeedTest,16,24702,4808,0,2,34,1,1,1,1,8,8,2021,11
whyour__qinglong,52,19238,3234,2,2,8,1,1,1,1,8,8,2025,6
ajeetdsouza__zoxide,8,33572,737,0,2,20,0,1,1,1,8,8,2020,10
massgravel__Microsoft-Activation-Scripts,12,166394,16012,10,1,3,0,1,1,0,8,8,2020,12
labuladong__fucking-algorithm,27,132689,23706,1,2,3,0,1,3,1,8,8,2022,4
Johnshall__Shadowrocket-ADBlock-Rules-Forever,11,22347,1466,,0,0,0,1,1,1,8,8,2022,10
Loyalsoldier__clash-rules,39,24442,2019,22,1,1,0,1,1,1,8,8,2023,9
Raphire__Win11Debloat,42,39843,1546,1,1,7,0,1,1,1,8,8,2024,3
gkd-kit__gkd,27,36161,1756,0,1,31,0,1,1,0,8,8,2025,9
YunaiV__ruoyi-vue-pro,10,35455,7676,0,7,95,3,0,0,0,8,8,2021,10
leiurayer__downkyi,2,24091,2559,0,1,5,0,0,0,0,8,8,2021,1
Anjok07__ultimatevocalremovergui,14,23674,1768,76,0,0,0,0,1,0,8,8,2021,8
Loyalsoldier__clash-rules,24,24442,2019,39,0,0,0,0,0,0,8,8,2022,6
Loyalsoldier__clash-rules,25,24442,2019,70,0,0,0,0,0,0,8,8,2022,7
iDvel__rime-ice,23,15752,1006,0,1,30,0,0,0,0,8,8,2022,11
fanmingming__live,7,27679,4168,,0,0,0,0,0,0,8,8,2023,5
XIU2__CloudflareSpeedTest,34,24702,4808,0,1,6,0,0,0,0,8,8,2023,5
Loyalsoldier__clash-rules,36,24442,2019,67,0,0,0,0,0,0,8,8,2023,6
CherryHQ__cherry-studio,3,40044,3689,0,1,255,0,0,0,0,8,8,2024,7
game1024__OpenSpeedy,7,15196,1148,0,1,27,0,0,0,0,8,8,2025,11
mastra-ai__mastra,5,21298,1582,0,11,1776,3,334,333,314,7,8,2024,12
carbon-language__carbon-lang,39,33638,1525,0,13,78,2,95,96,79,7,8,2023,6
google__zx,47,45168,1204,0,5,55,2,55,55,53,7,8,2025,3
gofiber__fiber,66,39237,1955,0,8,47,3,50,53,48,7,8,2025,6
google__zx,45,45168,1204,0,4,37,1,36,34,32,7,8,2025,1
shardeum__shardeum,5,31581,702,0,25,60,7,28,44,35,7,8,2024,8
GyulyVGC__sniffnet,42,32818,1210,0,2,74,0,19,16,4,7,8,2025,12
microsoft__generative-ai-for-beginners,13,106762,57212,0,10,44,7,16,26,21,7,8,2024,6
FuelLabs__fuels-ts,5,43371,1366,0,3,8,1,10,9,8,7,8,2022,1
ChatGPTNextWeb__NextChat,34,87336,60339,92,0,0,0,8,4,0,7,8,2025,12
ajeetdsouza__zoxide,17,33572,737,1,2,7,1,7,7,4,7,8,2021,7
abi__screenshot-to-code,4,71711,8851,0,2,7,1,6,0,0,7,8,2024,2
remix-run__remix,55,32392,2732,0,2,10,0,6,9,4,7,8,2025,4
datawhalechina__self-llm,4,28301,2823,0,6,41,3,5,5,5,7,8,2024,2
ajeetdsouza__zoxide,16,33572,737,0,3,14,2,4,5,3,7,8,2021,6
ahujasid__blender-mcp,2,17271,1636,13,3,7,1,4,4,3,7,8,2025,4
Raphire__Win11Debloat,59,39843,1546,8,2,12,1,4,3,3,7,8,2025,8
danielgatis__rembg,39,21923,2228,3,3,7,2,3,3,3,7,8,2023,10
Atlas-OS__Atlas,10,19789,711,1,1,65,0,1,1,1,7,8,2021,11
fanmingming__live,17,27679,4168,,0,0,0,1,1,0,7,8,2024,3
pppscn__SmsForwarder,16,24598,3126,24,1,1,0,0,0,0,7,8,2022,5
Z-Siqi__Clash-for-Windows_Chinese,29,27713,3204,12,1,3,0,0,0,0,7,8,2023,8
carbon-language__carbon-lang,68,33638,1525,1,10,107,1,122,119,107,6,8,2025,11
android__nowinandroid,3,20621,4199,0,20,140,8,71,63,52,6,8,2022,6
resend__react-email,40,18096,919,0,6,44,2,43,48,39,6,8,2025,12
charmbracelet__vhs,11,18698,371,4,10,15,4,15,11,9,6,8,2023,5
NvChad__NvChad,3,27891,2276,0,7,78,3,13,13,13,6,8,2021,5
spacedriveapp__spacedrive,12,37051,1209,0,6,60,1,12,17,14,6,8,2022,8
bigskysoftware__htmx,29,47465,1568,0,3,20,2,11,3,2,6,8,2022,8
DavidHDev__react-bits,10,36039,1594,0,4,36,2,9,7,5,6,8,2025,5
openai__tiktoken,27,17348,1385,13,2,6,1,6,7,4,6,8,2025,2
ahujasid__blender-mcp,3,17271,1636,18,2,5,2,5,1,0,6,8,2025,5
abi__screenshot-to-code,15,71711,8851,21,2,3,1,5,7,1,6,8,2025,1
lxgw__LxgwWenKai,14,23219,602,0,2,66,1,2,2,2,6,8,2022,2
NVIDIA__open-gpu-kernel-modules,14,16726,1590,15,1,1,0,2,0,0,6,8,2023,6
Raphire__Win11Debloat,62,39843,1546,0,2,11,1,1,1,1,6,8,2025,11
danielgatis__rembg,17,21923,2228,49,0,0,0,0,0,0,6,8,2021,12
lxgw__LxgwWenKai,16,23219,602,3,1,6,0,0,0,0,6,8,2022,4
Z-Siqi__Clash-for-Windows_Chinese,47,27713,3204,79,0,0,0,0,0,0,6,8,2025,2
withfig__autocomplete,28,25074,5508,0,26,120,9,44,46,36,5,8,2022,12
tokio-rs__axum,29,25044,1349,0,10,19,6,24,23,20,5,8,2023,9
microsoft__generative-ai-for-beginners,15,106762,57212,0,11,30,6,16,9,6,5,8,2024,8
assafelovic__gpt-researcher,31,25383,3368,2,8,22,6,15,10,6,5,8,2025,11
stanfordnlp__dspy,3,32333,2639,3,6,30,4,7,7,6,5,8,2023,3
actualbudget__actual,8,25090,2183,0,9,38,2,6,8,7,5,8,2022,11
The-Run-Philosophy-Organization__run,7,32149,2587,3,2,2,2,2,3,2,5,8,2022,10
Avaiga__taipy,6,19086,1968,0,9,166,1,1,1,1,5,8,2022,7
mantinedev__mantine,6,30576,2245,0,1,508,0,1,1,1,5,8,2021,6
Z-Siqi__Clash-for-Windows_Chinese,48,27713,3204,110,0,0,0,0,0,0,5,8,2025,3
juanfont__headscale,24,35569,1905,0,9,128,5,29,29,19,4,8,2022,5
tokio-rs__axum,56,25044,1349,1,10,39,0,27,27,25,4,8,2025,12
RunaCapital__awesome-oss-alternatives,5,18801,1013,0,15,47,14,25,36,24,4,8,2022,3
GyulyVGC__sniffnet,34,32818,1210,0,6,63,1,19,20,10,4,8,2025,4
GyulyVGC__sniffnet,18,32818,1210,0,2,92,0,10,11,9,4,8,2023,12
google__zx,13,45168,1204,0,3,18,1,9,6,5,4,8,2022,5
danielgatis__rembg,63,21923,2228,6,2,17,1,4,2,2,4,8,2025,10
FoundationAgents__MetaGPT,27,64361,8091,61,0,0,0,4,2,0,4,8,2025,8
YunaiV__ruoyi-vue-pro,19,35455,7676,0,13,221,7,0,0,0,4,8,2022,7
GraphiteEditor__Graphite,18,24275,1081,84,0,16,0,10,11,11,3,8,2021,9
stan-smith__FossFLOW,6,18392,1187,1,7,27,4,8,8,6,3,8,2025,11
openai__openai-python,16,30027,4563,3,7,8,4,5,13,8,3,8,2022,1
hpcaitech__ColossalAI,47,41347,4533,4,8,115,1,4,6,3,3,8,2025,8
fishaudio__fish-speech,26,24979,2084,23,2,2,1,3,3,2,3,8,2025,11
Johnshall__Shadowrocket-ADBlock-Rules-Forever,14,22347,1466,,0,0,0,3,3,2,3,8,2023,1
massgravel__Microsoft-Activation-Scripts,35,166394,16012,22,1,2,0,0,0,0,3,8,2022,11
Lordog__dive-into-llms,4,20227,2406,27,1,3,0,0,0,0,3,8,2024,7
tinygrad__tinygrad,24,31406,3909,0,7,81,4,16,23,10,2,8,2022,9
microsoft__generative-ai-for-beginners,12,106762,57212,2,9,21,3,14,16,8,2,8,2024,5
RunaCapital__awesome-oss-alternatives,9,18801,1013,2,14,40,12,11,10,9,2,8,2022,7
ScrapeGraphAI__Scrapegraph-ai,17,22749,1980,0,5,17,3,4,3,3,2,8,2025,5
Skyvern-AI__skyvern,8,20497,1814,0,8,135,2,129,132,130,0,8,2024,9
AMAI-GmbH__AI-Expert-Roadmap,60,30749,2568,17,1,3,0,0,1,1,0,8,2025,9
type-challenges__type-challenges,13,47676,5213,21,7,10,5,8,7,6,384,7,2021,7
type-challenges__type-challenges,65,47676,5213,2,2,3,1,5,3,2,115,7,2025,11
haotian-liu__LLaVA,9,24473,2731,2,2,6,0,4,4,2,72,7,2023,12
chen08209__FlClash,26,31904,1940,2,1,4,0,4,3,0,71,7,2025,9
mckaywrigley__chatbot-ui,3,33041,9470,,0,0,0,50,24,0,62,7,2023,5
meta-llama__llama,23,59159,9826,160,0,0,0,2,1,0,57,7,2024,12
xiaye13579__BBLL,14,17293,533,144,0,0,0,0,0,0,48,7,2024,1
zhayujie__chatgpt-on-wechat,19,41351,9745,7,6,13,5,12,4,2,47,7,2024,2
BeyondDimension__SteamTools,22,24494,1593,0,2,12,0,42,24,11,46,7,2022,9
elysiajs__elysia,26,17330,473,0,3,7,1,5,0,0,43,7,2025,1
leiurayer__downkyi,24,24091,2559,23,1,6,0,0,0,0,43,7,2022,11
vbenjs__vue-vben-admin,16,31565,8595,,0,0,0,15,18,15,42,7,2021,10
yuliskov__SmartTube,13,28285,1519,,0,0,0,10,11,9,42,7,2021,7
BeyondDimension__SteamTools,38,24494,1593,1,2,3,0,0,0,0,42,7,2024,1
ventoy__Ventoy,44,74572,4704,16,2,7,1,8,2,1,41,7,2023,10
BeyondDimension__SteamTools,26,24494,1593,0,1,1,0,57,47,0,40,7,2023,1
microsoft__OmniParser,7,24386,2122,4,2,8,0,15,4,0,40,7,2025,3
Wan-Video__Wan2.1,4,15368,2404,3,3,5,1,11,7,4,40,7,2025,5
m-bain__whisperX,15,20254,2149,5,3,7,2,9,5,3,40,7,2024,2
HeyPuter__puter,3,39571,3509,0,11,337,5,42,42,38,39,7,2024,5
chatboxai__chatbox,31,38574,3908,12,2,3,0,1,1,0,39,7,2025,9
yuliskov__SmartTube,28,28285,1519,,0,0,0,20,19,19,38,7,2022,10
IceWhaleTech__CasaOS,33,33237,1867,15,1,1,0,0,0,0,38,7,2024,5
ChrisTitusTech__winutil,20,47806,2520,1,2,6,1,30,31,23,36,7,2023,11
ggml-org__whisper.cpp,27,46891,5222,1,46,144,19,25,19,16,36,7,2024,11
elysiajs__elysia,13,17330,473,1,4,61,3,8,10,7,36,7,2023,12
localsend__localsend,30,75324,4011,4,3,4,2,6,6,4,36,7,2025,5
xiaye13579__BBLL,20,17293,533,326,0,0,0,0,0,0,36,7,2024,7
yuliskov__SmartTube,10,28285,1519,,0,0,0,14,14,13,35,7,2021,4
localsend__localsend,17,75324,4011,0,6,8,4,11,7,7,35,7,2024,4
eyaltoledano__claude-task-master,6,25575,2432,2,11,80,5,67,68,52,34,7,2025,8
datalab-to__marker,19,31814,2172,0,4,33,1,6,3,2,34,7,2025,4
heroui-inc__heroui,20,28189,2061,23,2,11,0,17,30,17,33,7,2022,11
binary-husky__gpt_academic,18,70116,8395,2,4,15,2,6,8,4,32,7,2024,8
rustdesk__rustdesk,15,107767,16025,2,6,26,4,5,5,5,32,7,2021,11
chatboxai__chatbox,34,38574,3908,32,0,0,0,4,0,0,32,7,2025,12
chatboxai__chatbox,16,38574,3908,34,0,0,0,3,0,0,32,7,2024,6
amruthpillai__reactive-resume,48,35305,3881,0,11,20,7,15,5,5,31,7,2024,2
m-bain__whisperX,13,20254,2149,2,7,13,5,9,7,6,31,7,2023,12
NVlabs__instant-ngp,12,17278,2051,0,1,47,0,5,8,5,31,7,2022,12
xinntao__Real-ESRGAN,11,34380,4267,6,4,6,2,4,5,5,31,7,2022,5
leiurayer__downkyi,29,24091,2559,0,2,12,1,1,1,1,31,7,2023,4
jordanbaird__Ice,28,26092,586,70,0,0,0,2,0,0,30,7,2025,11
hpcaitech__ColossalAI,27,41347,4533,1,6,14,0,44,32,23,29,7,2023,12
danielmiessler__Fabric,11,39247,3916,0,22,131,12,24,25,22,28,7,2024,11
mckaywrigley__chatbot-ui,5,33041,9470,,0,0,0,23,24,0,28,7,2023,7
ChrisTitusTech__winutil,43,47806,2520,7,5,13,4,18,9,5,28,7,2025,10
oobabooga__text-generation-webui,27,46068,5884,9,7,17,3,18,14,7,28,7,2025,2
dockur__windows,23,50064,4049,7,3,8,1,13,15,8,28,7,2025,11
guidance-ai__guidance,9,21319,1148,13,1,10,0,7,1,0,28,7,2023,7
Wan-Video__Wan2.1,5,15368,2404,16,1,2,0,3,3,0,28,7,2025,6
XingangPan__DragGAN,1,35971,3440,11,1,5,1,1,0,0,28,7,2023,5
xinntao__Real-ESRGAN,6,34380,4267,17,1,8,0,1,1,1,28,7,2021,12
AUTOMATIC1111__stable-diffusion-webui,28,160723,29984,125,0,0,0,16,17,5,27,7,2024,11
type-challenges__type-challenges,2,47676,5213,0,4,35,2,12,13,12,27,7,2020,8
lllyasviel__ControlNet,6,33657,2998,98,0,0,0,3,1,0,27,7,2023,7
hiroi-sora__Umi-OCR,32,42159,4158,12,1,11,0,1,0,0,27,7,2024,10
browser-use__browser-use,2,78763,9320,0,10,337,10,46,45,41,26,7,2024,11
lm-sys__FastChat,18,39414,4779,0,9,16,1,27,20,16,26,7,2024,8
amruthpillai__reactive-resume,47,35305,3881,0,9,56,6,24,23,20,26,7,2024,1
Significant-Gravitas__AutoGPT,6,181926,46222,0,20,804,8,21,31,16,26,7,2023,8
nextai-translator__nextai-translator,5,24835,1830,3,9,23,5,21,19,17,26,7,2023,7
haotian-liu__LLaVA,19,24473,2731,172,0,0,0,3,2,0,26,7,2024,10
microsoft__graphrag,2,31026,3271,,0,0,0,162,161,140,25,7,2024,4
neondatabase__neon,4,20986,886,0,10,77,2,48,46,35,25,7,2021,6
netbirdio__netbird,24,22840,1117,0,6,99,1,41,36,34,25,7,2023,3
Lissy93__dashy,29,24038,1768,4,8,36,4,11,7,7,25,7,2023,6
RVC-Boss__GPT-SoVITS,20,55190,6028,28,1,1,0,9,4,1,25,7,2025,8
RVC-Project__Retrieval-based-Voice-Conversion-WebUI,25,34511,4904,126,0,0,0,3,1,0,25,7,2025,3
oobabooga__text-generation-webui,36,46068,5884,0,4,26,1,18,14,7,24,7,2025,11
colinhacks__zod,56,41894,1819,14,6,6,6,13,9,6,24,7,2024,10
nvim-lua__kickstart.nvim,10,29519,44467,18,1,3,0,12,7,0,24,7,2023,3
MetaCubeX__mihomo,18,27022,3672,,0,0,0,7,5,5,24,7,2022,10
qier222__YesPlayMusic,31,32585,4727,14,5,5,3,4,9,5,24,7,2023,4
folke__lazy.nvim,13,20306,547,25,3,4,1,4,3,2,24,7,2023,11
ventoy__Ventoy,49,74572,4704,66,0,0,0,3,2,0,24,7,2024,3
zen-browser__desktop,2,40244,1342,0,2,120,1,1,1,1,24,7,2024,4
facebook__lexical,12,22980,2090,,0,0,0,127,120,110,23,7,2021,11
ByteByteGoHq__system-design-101,2,79748,8740,4,14,18,14,21,19,16,23,7,2023,10
SigNoz__signoz,7,25821,1973,0,8,30,5,20,17,17,23,7,2021,7
chatboxai__chatbox,12,38574,3908,49,0,0,0,3,2,0,23,7,2024,2
Evil0ctal__Douyin_TikTok_Download_API,24,16349,2400,16,4,9,1,2,2,2,23,7,2023,10
hiroi-sora__Umi-OCR,30,42159,4158,0,2,8,0,2,2,2,23,7,2024,8
index-tts__index-tts,6,18898,2332,43,0,0,0,1,0,0,23,7,2025,7
chroma-core__chroma,34,26227,2068,0,16,104,2,153,141,122,22,7,2025,7
microsoft__autogen,2,54714,8239,0,9,99,4,22,12,9,22,7,2023,9
amruthpillai__reactive-resume,3,35305,3881,7,2,308,1,8,6,6,22,7,2020,5
linkwarden__linkwarden,31,17285,683,0,3,15,1,4,0,0,22,7,2024,10
hiroi-sora__Umi-OCR,14,42159,4158,,0,0,0,3,3,1,22,7,2023,4
qarmin__czkawka,41,29343,969,16,1,2,0,3,2,2,22,7,2024,1
babysor__MockingBird,19,36875,5245,9,1,8,0,1,2,1,22,7,2023,2
xiaye13579__BBLL,15,17293,533,173,0,0,0,0,0,0,22,7,2024,2
tinygrad__tinygrad,63,31406,3909,0,23,333,9,415,394,324,21,7,2025,12
openai__openai-python,61,30027,4563,6,5,27,3,27,17,11,21,7,2025,10
datalab-to__surya,10,19299,1326,0,4,66,2,20,23,20,21,7,2024,10
AppFlowy-IO__AppFlowy,11,68177,4901,0,5,162,2,19,20,20,21,7,2022,4
shadcn-ui__taxonomy,8,19157,2703,31,0,0,0,10,5,0,21,7,2023,5
JaidedAI__EasyOCR,18,28981,3537,1,5,20,4,6,6,6,21,7,2021,8
huggingface__diffusers,2,32824,6782,0,12,526,11,38,35,33,20,7,2022,6
teableio__teable,18,20897,1208,4,4,40,0,35,38,33,20,7,2024,4
modelcontextprotocol__python-sdk,4,21769,3105,0,6,57,5,19,10,4,20,7,2024,12
rustdesk__rustdesk,17,107767,16025,0,7,194,2,10,11,8,20,7,2022,1
ChatGPTNextWeb__NextChat,30,87336,60339,20,2,6,1,10,10,1,20,7,2025,8
chidiwilliams__buzz,19,17942,1315,6,2,24,0,9,10,10,20,7,2024,3
Lissy93__dashy,28,24038,1768,2,10,40,7,7,6,5,20,7,2023,5
TibixDev__winboat,5,18983,502,0,3,32,2,3,2,2,20,7,2025,8
jordanbaird__Ice,22,26092,586,22,1,1,1,2,0,0,20,7,2025,5
lyswhut__lx-music-mobile,29,15657,1776,1,1,47,0,2,1,0,20,7,2023,9
Anjok07__ultimatevocalremovergui,22,23674,1768,12,2,64,1,1,1,0,20,7,2022,4
freefq__free,22,39492,5672,0,1,188,0,0,0,0,20,7,2022,3
langchain-ai__langgraph,9,24941,4363,0,22,213,15,86,89,75,19,7,2024,4
ManimCommunity__manim,20,36831,2661,0,23,38,11,43,47,38,19,7,2021,12
LizardByte__Sunshine,19,34632,1707,1,4,11,1,32,29,8,19,7,2023,6
shadcn-ui__ui,1,107051,7937,0,14,23,14,29,20,14,19,7,2023,1
zellij-org__zellij,11,29250,969,0,9,92,2,22,19,18,19,7,2021,7
roboflow__supervision,11,36512,3092,0,8,89,2,19,15,13,19,7,2023,9
FuelLabs__sway,6,61936,5430,0,4,16,1,18,17,16,19,7,2021,6
cloudflare__pingora,17,26135,1583,6,11,16,7,14,13,5,19,7,2024,9
cloudflare__pingora,19,26135,1583,6,8,17,2,12,7,4,19,7,2024,11
binwiederhier__ntfy,25,28865,1187,0,13,48,11,11,12,11,19,7,2023,10
qarmin__czkawka,55,29343,969,14,1,5,0,6,6,5,19,7,2025,3
abiosoft__colima,3,27054,537,29,0,0,0,2,2,0,19,7,2021,11
lyswhut__lx-music-mobile,40,15657,1776,6,1,11,0,2,2,0,19,7,2024,8
tw93__Pake,8,45910,9023,0,3,30,0,1,1,1,19,7,2023,5
block__goose,3,30944,2805,0,13,71,3,91,84,71,18,7,2024,10
yamadashy__repomix,7,22009,1021,1,10,218,7,72,71,69,18,7,2025,1
mem0ai__mem0,19,47779,5304,2,5,21,1,30,30,19,18,7,2024,12
mingrammer__diagrams,2,42017,2719,0,14,60,13,21,18,17,18,7,2020,3
Grasscutters__Grasscutter,11,16749,4383,1,6,16,4,12,24,16,18,7,2023,2
Grasscutters__Grasscutter,20,16749,4383,9,6,16,1,7,8,8,18,7,2023,11
datalab-to__surya,18,19299,1326,0,4,62,1,7,6,6,18,7,2025,6
whyour__qinglong,44,19238,3234,4,3,9,2,5,5,4,18,7,2024,10
abi__screenshot-to-code,3,71711,8851,19,2,18,1,3,1,0,18,7,2024,1
danielgatis__rembg,23,21923,2228,2,2,5,1,1,2,2,18,7,2022,6
iOfficeAI__AionUi,3,16909,1277,0,7,482,2,68,69,63,17,7,2025,10
QwikDev__qwik,12,21931,1380,0,13,57,8,66,64,56,17,7,2022,4
Anduin2017__HowToCook,29,98025,10826,0,14,25,11,27,30,15,17,7,2022,6
zellij-org__zellij,10,29250,969,0,8,50,2,21,19,17,17,7,2021,6
nvim-lua__kickstart.nvim,25,29519,44467,50,0,0,0,20,15,0,17,7,2024,6
gitroomhq__postiz-app,21,26739,4616,2,7,54,5,19,16,9,17,7,2025,3
WerWolv__ImHex,54,52654,2338,0,5,10,2,9,5,4,17,7,2025,4
qarmin__czkawka,24,29343,969,0,4,9,2,5,6,6,17,7,2022,8
NVlabs__instant-ngp,21,17278,2051,0,3,11,2,5,7,4,17,7,2023,9
khoj-ai__khoj,43,32545,1965,9,2,37,0,5,3,1,17,7,2025,2
meta-llama__llama,18,59159,9826,7,2,4,0,3,4,1,17,7,2024,7
hiroi-sora__Umi-OCR,15,42159,4158,4,1,26,1,0,0,0,17,7,2023,5
xiaojieonly__Ehviewer_CN_SXJ,19,22498,594,3,1,5,0,0,0,0,17,7,2022,5
FuelLabs__fuel-core,48,57363,2859,3,4,23,1,38,34,23,16,7,2024,7
yamadashy__repomix,6,22009,1021,0,9,115,6,29,28,28,16,7,2024,12
bigskysoftware__htmx,31,47465,1568,0,14,84,9,25,25,14,16,7,2022,10
browserbase__stagehand,7,21205,1386,0,3,13,2,19,16,13,16,7,2024,9
ItzCrazyKns__Perplexica,15,29038,3083,0,6,14,5,10,7,5,16,7,2025,6
colinhacks__zod,11,41894,1819,1,7,50,4,10,10,9,16,7,2021,1
sickcodes__Docker-OSX,18,52170,2901,0,4,34,3,5,5,5,16,7,2021,11
YunaiV__ruoyi-vue-pro,16,35455,7676,0,21,169,14,4,2,1,16,7,2022,4
chidiwilliams__buzz,15,17942,1315,20,2,2,1,3,2,2,16,7,2023,11
qier222__YesPlayMusic,32,32585,4727,29,1,1,1,1,2,1,16,7,2023,5
datawhalechina__happy-llm,16,26050,2433,2,3,15,1,1,2,1,16,7,2025,8
KRTirtho__spotube,28,44448,1980,2,3,38,0,1,2,2,16,7,2023,5
Skyvern-AI__skyvern,22,20497,1814,0,10,209,2,253,242,209,15,7,2025,11
wavetermdev__waveterm,23,17469,777,,0,0,0,72,74,67,15,7,2024,4
jj-vcs__jj,17,25940,926,0,6,127,2,66,65,63,15,7,2022,4
spacedriveapp__spacedrive,23,37051,1209,0,11,40,3,55,53,43,15,7,2023,7
withfig__autocomplete,15,25074,5508,0,33,105,19,43,38,34,15,7,2021,11
yamadashy__repomix,8,22009,1021,1,7,121,4,34,34,28,15,7,2025,2
gitui-org__gitui,41,21441,692,0,6,17,3,28,28,10,15,7,2023,7
facebook__lexical,60,22980,2090,3,9,19,2,27,24,19,15,7,2025,11
motion-canvas__motion-canvas,19,18182,716,10,4,25,2,24,23,22,15,7,2024,2
danielmiessler__Fabric,17,39247,3916,0,9,58,4,15,15,13,15,7,2025,5
TapXWorld__ChinaTextbook,67,65188,14539,73,0,0,0,8,5,0,15,7,2025,7
qarmin__czkawka,62,29343,969,8,3,5,2,5,6,5,15,7,2025,10
binwiederhier__ntfy,37,28865,1187,0,2,2,2,4,0,0,15,7,2024,10
microsoft__Swin-Transformer,5,15715,2212,24,2,3,0,2,3,1,15,7,2021,7
ajeetdsouza__zoxide,52,33572,737,4,2,3,1,0,1,1,15,7,2024,6
github__github-mcp-server,1,27169,3621,0,5,65,5,41,34,33,14,7,2025,3
krayin__laravel-crm,42,21522,1380,0,6,82,2,31,23,15,14,7,2024,11
trpc__trpc,63,39568,1490,0,10,27,6,27,30,25,14,7,2025,9
FuelLabs__fuels-rs,26,43415,1360,0,9,20,2,26,26,20,14,7,2023,11
conductor-oss__conductor,24,31485,814,2,6,35,2,23,20,6,14,7,2025,11
drawdb-io__drawdb,16,36678,2860,0,12,39,10,22,18,13,14,7,2024,10
t3-oss__create-t3-app,15,28553,1447,0,8,10,4,16,15,11,14,7,2023,7
LizardByte__Sunshine,4,34632,1707,14,4,42,2,14,11,9,14,7,2022,3
twitter__the-algorithm,3,72766,13271,8,0,3,0,13,17,0,14,7,2023,5
spacedriveapp__spacedrive,38,37051,1209,0,9,106,1,11,16,13,14,7,2024,10
AUTOMATIC1111__stable-diffusion-webui,34,160723,29984,307,0,0,0,11,16,5,14,7,2025,5
TabbyML__tabby,28,32906,1682,0,1,2,0,9,5,2,14,7,2025,6
abiosoft__colima,14,27054,537,1,3,7,2,8,8,7,14,7,2022,10
zhayujie__chatgpt-on-wechat,33,41351,9745,9,4,12,1,7,6,5,14,7,2025,4
sickcodes__Docker-OSX,8,52170,2901,0,4,32,2,6,5,5,14,7,2021,1
NanmiCoder__MediaCrawler,24,44102,9688,4,2,11,1,5,5,2,14,7,2025,5
Johnshall__Shadowrocket-ADBlock-Rules-Forever,24,22347,1466,,0,0,0,5,4,0,14,7,2023,11
babysor__MockingBird,16,36875,5245,0,2,3,1,2,1,1,14,7,2022,11
microsoft__Data-Science-For-Beginners,15,33969,6962,6,5,12,0,1,6,3,14,7,2022,5
pola-rs__polars,2,37486,2630,0,1,95,0,0,0,0,14,7,2020,6
NVIDIA__open-gpu-kernel-modules,6,16726,1590,18,1,2,0,0,0,0,14,7,2022,10
novuhq__novu,36,38597,4222,0,13,295,0,315,308,273,13,7,2024,7
jj-vcs__jj,25,25940,926,0,15,231,6,126,122,119,13,7,2022,12
browserbase__stagehand,9,21205,1386,0,13,55,7,86,81,53,13,7,2024,11
CopilotKit__CopilotKit,10,28929,3757,1,6,121,3,37,32,30,13,7,2024,3
DioxusLabs__dioxus,15,34809,1553,0,8,190,4,26,26,21,13,7,2022,3
coollabsio__coolify,4,50871,3650,0,1,16,0,14,14,14,13,7,2021,4
mingrammer__diagrams,14,42017,2719,22,2,3,0,13,5,1,13,7,2021,3
myshell-ai__OpenVoice,4,35997,4022,0,5,17,3,7,6,4,13,7,2024,2
google__zx,2,45168,1204,2,3,8,1,6,6,5,13,7,2021,6
Alibaba-NLP__DeepResearch,8,18266,1408,0,7,35,3,5,11,6,13,7,2025,8
wg-easy__wg-easy,2,24676,2353,14,2,4,1,4,3,2,13,7,2021,6
aristocratos__btop,41,30436,918,5,1,13,0,4,3,1,13,7,2024,9
KRTirtho__spotube,15,44448,1980,0,3,57,1,2,2,2,13,7,2022,4
ajeetdsouza__zoxide,54,33572,737,27,1,1,1,2,2,1,13,7,2024,8
Anduin2017__HowToCook,38,98025,10826,21,3,4,0,2,1,1,13,7,2023,3
aristocratos__btop,11,30436,918,4,2,12,0,1,3,3,13,7,2022,3
danielgatis__rembg,22,21923,2228,3,1,1,0,1,0,0,13,7,2022,5
sczhou__CodeFormer,7,17811,3696,6,1,2,0,1,1,0,13,7,2022,12
teableio__teable,38,20897,1208,0,8,230,0,191,191,167,12,7,2025,12
jj-vcs__jj,34,25940,926,0,15,149,4,104,111,104,12,7,2023,9
jj-vcs__jj,37,25940,926,1,8,175,1,90,84,78,12,7,2023,12
trpc__trpc,55,39568,1490,0,12,49,8,62,59,48,12,7,2025,1
zeromicro__go-zero,43,32675,4281,1,5,25,1,45,50,25,12,7,2024,2
langchain-ai__langgraph,6,24941,4363,0,8,185,6,40,36,34,12,7,2024,1
tldraw__tldraw,28,45295,2972,0,5,37,1,39,40,37,12,7,2023,8
juanfont__headscale,26,35569,1905,1,8,49,1,21,17,13,12,7,2022,7
guidance-ai__guidance,22,21319,1148,0,4,23,0,17,15,13,12,7,2024,8
ManimCommunity__manim,35,36831,2661,0,15,18,9,16,20,18,12,7,2023,3
Anduin2017__HowToCook,64,98025,10826,11,7,23,4,15,12,10,12,7,2025,5
lima-vm__lima,16,20267,816,0,4,31,1,14,15,13,12,7,2022,8
tokio-rs__axum,39,25044,1349,0,7,7,6,12,9,7,12,7,2024,7
bigskysoftware__htmx,66,47465,1568,6,4,10,2,12,6,3,12,7,2025,9
oven-sh__bun,8,87520,4074,3,5,176,3,9,10,9,12,7,2021,11
