repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
Aider-AI__aider,17,40837,3904,0,15,754,10,73,79,26,498,452,2024,9
siyuan-note__siyuan,6,41346,2566,0,1,38,0,0,0,0,476,452,2021,1
ultralytics__ultralytics,20,53471,10242,0,18,77,7,130,110,83,529,451,2024,4
zen-browser__desktop,15,40244,1342,0,15,431,9,65,59,49,526,451,2025,5
appsmithorg__appsmith,31,39114,4460,0,62,275,8,312,311,244,509,451,2022,12
vitejs__vite,10,78282,7842,0,71,673,57,164,201,119,355,451,2021,1
google-gemini__gemini-cli,8,95375,11528,0,77,318,31,605,495,357,908,450,2025,11
zed-industries__zed,51,75691,7024,0,98,943,41,1143,1112,1000,464,450,2025,4
ultralytics__ultralytics,19,53471,10242,0,33,108,17,152,137,113,561,449,2024,3
zylon-ai__private-gpt,10,57117,7611,5,7,8,5,24,16,8,47,449,2024,2
openai__codex,5,61508,8163,1,38,425,28,684,693,431,492,447,2025,8
appsmithorg__appsmith,37,39114,4460,0,66,445,7,418,429,354,635,443,2023,6
appsmithorg__appsmith,34,39114,4460,0,55,319,5,323,311,257,604,443,2023,3
vllm-project__vllm,28,70898,13607,0,210,678,79,955,885,678,529,443,2025,5
open-webui__open-webui,20,124575,17612,0,73,751,47,332,328,156,406,443,2025,5
shadcn-ui__ui,18,107051,7937,26,2,2,0,65,17,1,88,443,2024,6
ultralytics__ultralytics,15,53471,10242,0,11,54,7,118,100,84,475,442,2023,11
open-webui__open-webui,18,124575,17612,0,67,490,37,240,244,126,411,442,2025,3
ollama__ollama,10,163117,14641,0,34,174,26,168,136,107,381,439,2024,3
oven-sh__bun,30,87520,4074,0,128,442,110,424,362,306,1246,436,2023,9
oven-sh__bun,55,87520,4074,0,23,292,7,467,358,238,619,436,2025,10
appsmithorg__appsmith,23,39114,4460,0,54,411,4,313,327,266,685,435,2022,4
crewAIInc__crewAI,11,44446,5959,0,24,92,19,65,70,50,65,434,2024,8
shadcn-ui__ui,14,107051,7937,24,1,1,0,66,17,1,127,433,2024,2
appsmithorg__appsmith,33,39114,4460,0,54,261,3,252,274,225,525,431,2023,2
hiyouga__LlamaFactory,13,67432,8208,0,26,245,21,41,43,26,429,428,2024,5
MaaAssistantArknights__MaaAssistantArknights,28,19628,2497,0,36,634,6,188,189,162,343,427,2023,10
oven-sh__bun,46,87520,4074,0,41,338,18,368,329,267,458,425,2025,1
BerriAI__litellm,26,36574,5916,0,98,829,71,420,499,349,486,424,2025,8
appsmithorg__appsmith,17,39114,4460,0,64,344,22,437,378,263,450,424,2021,10
CherryHQ__cherry-studio,18,40044,3689,0,32,185,8,238,207,169,350,423,2025,10
colinhacks__zod,65,41894,1819,0,27,114,21,71,78,62,147,423,2025,7
oven-sh__bun,47,87520,4074,0,34,233,18,281,256,204,542,421,2025,2
appsmithorg__appsmith,24,39114,4460,0,50,394,6,268,265,201,469,419,2022,5
langgenius__dify,22,129998,20242,0,70,161,29,262,257,210,466,419,2025,1
ultralytics__ultralytics,10,53471,10242,1,17,77,14,109,95,82,372,419,2023,6
zed-industries__zed,43,75691,7024,0,108,662,67,736,725,644,755,418,2024,8
ollama__ollama,22,163117,14641,0,32,178,20,178,150,106,450,416,2025,3
vllm-project__vllm,24,70898,13607,0,136,413,58,581,546,413,366,415,2025,1
basecamp__omarchy,5,20351,2013,0,83,3,67,277,298,112,496,413,2025,10
browser-use__browser-use,12,78763,9320,0,28,755,17,204,315,168,109,413,2025,9
appsmithorg__appsmith,22,39114,4460,0,54,494,4,386,376,312,540,412,2022,3
google-gemini__gemini-cli,3,95375,11528,0,84,557,70,943,791,591,1079,411,2025,6
ultralytics__ultralytics,28,53471,10242,0,20,110,6,170,156,111,314,410,2024,12
appsmithorg__appsmith,28,39114,4460,0,54,371,7,294,325,273,514,409,2022,9
BerriAI__litellm,25,36574,5916,0,95,764,70,612,764,447,375,409,2025,7
helix-editor__helix,47,43032,3318,0,78,131,33,162,280,105,108,409,2024,4
appsmithorg__appsmith,42,39114,4460,0,53,351,3,313,310,269,407,407,2023,11
zed-industries__zed,38,75691,7024,0,101,623,63,721,723,616,568,406,2024,3
appsmithorg__appsmith,40,39114,4460,0,62,392,1,441,446,372,441,405,2023,9
RSSNext__Folo,8,37270,1964,0,23,408,8,107,111,94,451,404,2024,11
appsmithorg__appsmith,16,39114,4460,0,46,567,4,444,420,362,576,403,2021,9
twentyhq__twenty,23,39950,5219,0,100,416,73,481,482,402,345,403,2024,10
dotnet__maui,25,23180,1913,0,41,259,5,257,254,215,607,402,2022,5
dotnet__maui,24,23180,1913,0,44,340,10,327,321,269,587,402,2022,4
siyuan-note__siyuan,27,41346,2566,0,4,793,0,8,8,6,393,401,2022,10
MaaAssistantArknights__MaaAssistantArknights,50,19628,2497,0,29,465,6,126,118,102,373,400,2025,8
mastra-ai__mastra,16,21298,1582,0,54,530,22,742,736,624,342,400,2025,11
zed-industries__zed,44,75691,7024,0,98,538,53,625,631,539,607,399,2024,9
langchain-ai__langchain,19,127113,20906,0,191,561,110,760,712,582,223,399,2024,4
appsmithorg__appsmith,44,39114,4460,0,49,284,2,357,335,283,501,397,2024,1
RooCodeInc__Roo-Code,10,22341,2998,0,49,373,23,796,785,370,355,395,2025,7
appsmithorg__appsmith,39,39114,4460,0,61,402,5,413,410,336,560,392,2023,8
appsmithorg__appsmith,20,39114,4460,0,54,236,5,254,249,190,426,391,2022,1
oven-sh__bun,39,87520,4074,0,32,242,19,198,175,155,539,389,2024,6
ultralytics__ultralytics,16,53471,10242,0,12,38,4,97,90,60,390,388,2023,12
ultralytics__ultralytics,30,53471,10242,0,21,103,11,136,119,101,266,388,2025,2
pola-rs__polars,45,37486,2630,0,48,367,26,417,438,367,378,387,2024,1
lllyasviel__Fooocus,6,47742,7789,2,9,22,7,56,33,14,206,386,2024,1
neondatabase__neon,53,20986,886,0,35,298,6,370,419,315,24,386,2025,7
appsmithorg__appsmith,38,39114,4460,0,59,364,4,404,412,330,474,385,2023,7
appsmithorg__appsmith,48,39114,4460,0,40,314,8,388,395,324,430,385,2024,5
zed-industries__zed,37,75691,7024,0,127,622,100,646,617,545,637,384,2024,2
appsmithorg__appsmith,41,39114,4460,0,59,354,7,364,381,297,435,384,2023,10
zen-browser__desktop,14,40244,1342,0,14,375,9,50,49,40,568,383,2025,4
run-llama__llama_index,16,47101,6859,0,122,587,81,642,629,585,445,383,2024,2
hiyouga__LlamaFactory,4,67432,8208,0,8,137,6,21,21,15,440,383,2023,8
zed-industries__zed,41,75691,7024,0,95,472,61,529,529,468,526,382,2024,6
