split,model,train_active_rate,test_active_rate,balanced_accuracy,f1,precision,recall,roc_auc
rolling_test_2023,gradient_boosting,0.7966133584195673,0.8028950542822678,0.8038627409730722,0.9337865799586166,0.918848167539267,0.94921875,0.9426421932374541
rolling_test_2024,dummy,0.7993657505285412,0.773036253776435,0.5,0.8719914802981895,0.773036253776435,1.0,
rolling_test_2024,logistic_regression,0.7993657505285412,0.773036253776435,0.8765609670253209,0.9063067739423826,0.9667774086378738,0.8529555446995604,0.9447570284666411
rolling_test_2024,random_forest,0.7993657505285412,0.773036253776435,0.8875876145196859,0.9256345177664974,0.9632857897517169,0.8908158280410357,0.9504958150680312
rolling_test_2024,gradient_boosting,0.7993657505285412,0.773036253776435,0.8446186009801284,0.9367608013516775,0.9258110687022901,0.9479726428920371,0.9554847522489386
rolling_test_2025,dummy,0.7899159663865546,0.7267054908485857,0.5,0.8417248855697422,0.7267054908485857,1.0,
rolling_test_2025,logistic_regression,0.7899159663865546,0.7267054908485857,0.8661641308997639,0.8938564476885644,0.9536015574302401,0.8411562678878076,0.9407984899532054
rolling_test_2025,random_forest,0.7899159663865546,0.7267054908485857,0.8774269698260728,0.9084369848643788,0.9534444793960365,0.8674871207784773,0.9468250203218564
rolling_test_2025,gradient_boosting,0.7899159663865546,0.7267054908485857,0.8555362138530153,0.9230111206159111,0.9196022727272727,0.9264453348597596,0.9492322781650475
holdout_2020_2023_vs_2024_2025,dummy,0.7993657505285412,0.7509897070467142,0.5,0.8577888311101063,0.7509897070467142,1.0,
holdout_2020_2023_vs_2024_2025,logistic_regression,0.7993657505285412,0.7509897070467142,0.8720312299648093,0.899845700659279,0.9617691154422788,0.8454138112809699,0.9424834721462135
holdout_2020_2023_vs_2024_2025,random_forest,0.7993657505285412,0.7509897070467142,0.8815459813126407,0.9170731707317074,0.9579445959523468,0.8795466526093833,0.9475966885208258
holdout_2020_2023_vs_2024_2025,gradient_boosting,0.7993657505285412,0.7509897070467142,0.8450174025928312,0.9295297642308193,0.9188771568374968,0.9404322614654718,0.9505046982391241
rolling_test_2021,dummy,0.7440476190476191,0.7466523835029459,0.5,0.854952468567924,0.7466523835029459,1.0,
rolling_test_2021,logistic_regression,0.7440476190476191,0.7466523835029459,0.8111697368061854,0.8432304038004751,0.9408127208480566,0.7639885222381636,0.8806550877969916
rolling_test_2021,random_forest,0.7440476190476191,0.7466523835029459,0.8121350638950986,0.8753295668549906,0.9214908802537668,0.8335724533715926,0.8840234954395308
rolling_test_2021,gradient_boosting,0.7440476190476191,0.7466523835029459,0.7549229406608207,0.8851995761215118,0.871955462769659,0.8988522238163558,0.8567789772537694
rolling_test_2022,dummy,0.7459629775502166,0.7672910662824207,0.5,0.8683245006114961,0.7672910662824207,1.0,
rolling_test_2022,logistic_regression,0.7459629775502166,0.7672910662824207,0.825639907556796,0.8820895522388059,0.9380952380952381,0.8323943661971831,0.9033583336967107
rolling_test_2022,random_forest,0.7459629775502166,0.7672910662824207,0.839496213607756,0.9049005337214944,0.9362449799196787,0.8755868544600939,0.9187037602290731
rolling_test_2022,gradient_boosting,0.7459629775502166,0.7672910662824207,0.7956583671274291,0.9139287366959741,0.9010036496350365,0.9272300469483568,0.9171634035378421
rolling_test_2023,dummy,0.7571025399811854,0.7628468033775633,0.5,0.8654714657178049,0.7628468033775633,1.0,
rolling_test_2023,logistic_regression,0.7571025399811854,0.7628468033775633,0.8620648108290013,0.9008858432224637,0.9553349875930521,0.8523086654016445,0.9328603656209966
rolling_test_2023,random_forest,0.7571025399811854,0.7628468033775633,0.8689907426889636,0.9190600522193212,0.9494268374915711,0.8905755850727388,0.9377443098133159
rolling_test_2023,gradient_boosting,0.7571025399811854,0.7628468033775633,0.8193883302672955,0.9208385481852316,0.9111455108359133,0.9307400379506642,0.9392776504819759
rolling_test_2024,dummy,0.7596194503171247,0.735083081570997,0.5,0.8473174447709217,0.735083081570997,1.0,
rolling_test_2024,logistic_regression,0.7596194503171247,0.735083081570997,0.8699572985780168,0.9018280297901151,0.9536082474226805,0.8553814538916004,0.9397808885916368
rolling_test_2024,random_forest,0.7596194503171247,0.735083081570997,0.8815199860707277,0.9175655879611133,0.9527101769911505,0.8849216542512202,0.9459551374169952
rolling_test_2024,gradient_boosting,0.7596194503171247,0.735083081570997,0.8557855272883197,0.9261058552799796,0.9218630694833291,0.9303878756742872,0.9498751253918295
rolling_test_2025,dummy,0.7508132285172133,0.6824043261231281,0.5,0.8112251205340586,0.6824043261231281,1.0,
rolling_test_2025,logistic_regression,0.7508132285172133,0.6824043261231281,0.8597450503354533,0.886031184696994,0.9374149659863945,0.8399878085949406,0.9375414039716277
rolling_test_2025,random_forest,0.7508132285172133,0.6824043261231281,0.8785243649461576,0.9042401143401619,0.9439655172413793,0.8677232551051509,0.9415139896772251
rolling_test_2025,gradient_boosting,0.7508132285172133,0.6824043261231281,0.8662628014244064,0.9138141809290954,0.9163346613545816,0.9113075281926242,0.9441692329893672
holdout_2020_2023_vs_2024_2025,dummy,0.7596194503171247,0.7100158353127475,0.5,0.8304201875217039,0.7100158353127475,1.0,
holdout_2020_2023_vs_2024_2025,logistic_regression,0.7596194503171247,0.7100158353127475,0.8652271998523299,0.8945898265216113,0.9463452566096423,0.8482018399776973,0.9383245432168307
holdout_2020_2023_vs_2024_2025,random_forest,0.7596194503171247,0.7100158353127475,0.876491378137396,0.9091040776417759,0.9461781999095432,0.8748257596877613,0.942766945673179
holdout_2020_2023_vs_2024_2025,gradient_boosting,0.7596194503171247,0.7100158353127475,0.8572927836679858,0.9191891141349625,0.9156293222683264,0.9227766936158349,0.9461248716687395
rolling_test_2021,dummy,0.7395833333333334,0.7466523835029459,0.5,0.854952468567924,0.7466523835029459,1.0,
rolling_test_2021,logistic_regression,0.7395833333333334,0.7466523835029459,0.8097729320161005,0.8434782608695652,0.9392605633802817,0.7654232424677188,0.8804852266281648
rolling_test_2021,random_forest,0.7395833333333334,0.7466523835029459,0.8132111040672649,0.8765989465763732,0.9216772151898734,0.8357245337159254,0.8828405337280584
rolling_test_2021,gradient_boosting,0.7395833333333334,0.7466523835029459,0.7552247475590039,0.8829787234042553,0.8730715287517532,0.8931133428981348,0.8585170209990871
rolling_test_2022,dummy,0.7447814100039386,0.765850144092219,0.5,0.8674010607915137,0.765850144092219,1.0,
rolling_test_2022,logistic_regression,0.7447814100039386,0.765850144092219,0.8254417830523193,0.8825286212045794,0.9371035940803383,0.8339604891815616,0.9046331138287864
rolling_test_2022,random_forest,0.7447814100039386,0.765850144092219,0.8376322454591505,0.902046783625731,0.935793731041456,0.8706491063029163,0.9200850278601925
rolling_test_2022,gradient_boosting,0.7447814100039386,0.765850144092219,0.7966234893986541,0.913769123783032,0.9008226691042047,0.9270931326434619,0.9184420001447283
rolling_test_2023,dummy,0.7557855126999059,0.7621230398069964,0.5,0.8650054764512596,0.7621230398069964,1.0,
rolling_test_2023,logistic_regression,0.7557855126999059,0.7621230398069964,0.8619991370160404,0.9010033444816054,0.9549805033676001,0.8528015194681862,0.9325044128402253
rolling_test_2023,random_forest,0.7557855126999059,0.7621230398069964,0.8681567266196519,0.918680600914435,0.948735244519393,0.890471668249446,0.9374993177675169
rolling_test_2023,gradient_boosting,0.7557855126999059,0.7621230398069964,0.8219540165674941,0.9218725536245499,0.9120198265179678,0.9319404874960431,0.9390263948524036
rolling_test_2024,dummy,0.7585623678646934,0.7345166163141994,0.5,0.8469409971696059,0.7345166163141994,1.0,
rolling_test_2024,logistic_regression,0.7585623678646934,0.7345166163141994,0.8696691008421491,0.9016260162601626,0.953295128939828,0.8552699228791774,0.939988097284133
rolling_test_2024,random_forest,0.7585623678646934,0.7345166163141994,0.8825439632569926,0.9177223629817309,0.9534497090606816,0.8845758354755784,0.946040472890696
rolling_test_2024,gradient_boosting,0.7585623678646934,0.7345166163141994,0.8560521013504372,0.9266359918200409,0.9214539908490087,0.9318766066838047,0.9503365122665623
rolling_test_2025,dummy,0.7499322309568989,0.6821963394342762,0.5,0.811078140454995,0.6821963394342762,1.0,
rolling_test_2025,logistic_regression,0.7499322309568989,0.6821963394342762,0.8600649661601328,0.8863526764185822,0.9374362461747705,0.8405487804878049,0.9375025938577449
rolling_test_2025,random_forest,0.7499322309568989,0.6821963394342762,0.8789753862852765,0.9049357244881765,0.9437272426348892,0.8692073170731708,0.9413867960669137
rolling_test_2025,gradient_boosting,0.7499322309568989,0.6821963394342762,0.8655232409653939,0.9131498470948012,0.9159509202453988,0.9103658536585366,0.9440988738666838
holdout_2020_2023_vs_2024_2025,dummy,0.7585623678646934,0.7096199524940617,0.5,0.8301493574157693,0.7096199524940617,1.0,
holdout_2020_2023_vs_2024_2025,logistic_regression,0.7585623678646934,0.7096199524940617,0.8647538739293751,0.8943304654754026,0.945870275314979,0.8481171548117155,0.9384097518726726
holdout_2020_2023_vs_2024_2025,random_forest,0.7585623678646934,0.7096199524940617,0.8773606512023229,0.9094730738566354,0.9467330617172175,0.8750348675034868,0.9429565266167161
holdout_2020_2023_vs_2024_2025,gradient_boosting,0.7585623678646934,0.7096199524940617,0.8571499060217391,0.9193391642371235,0.9151464897733554,0.9235704323570433,0.9461566361391809
rolling_test_2021,dummy,0.7247023809523809,0.7359400107123728,0.5,0.8478864547979019,0.7359400107123728,1.0,
rolling_test_2021,logistic_regression,0.7247023809523809,0.7359400107123728,0.8124263709398833,0.8465524113192507,0.9356828193832599,0.7729257641921398,0.8847762414708391
rolling_test_2021,random_forest,0.7247023809523809,0.7359400107123728,0.8147751195042088,0.8806646525679759,0.9152276295133438,0.8486171761280932,0.8857350800582242
rolling_test_2021,gradient_boosting,0.7247023809523809,0.7359400107123728,0.7409105940222799,0.8746876115672974,0.8584442887175894,0.8915574963609898,0.8592935743790062
rolling_test_2022,dummy,0.732965734541158,0.7600864553314121,0.5,0.8636921817437577,0.7600864553314121,1.0,
rolling_test_2022,logistic_regression,0.732965734541158,0.7600864553314121,0.8266548539060388,0.8831623717788342,0.9353471118177,0.8364928909952607,0.9051132886440942
rolling_test_2022,random_forest,0.732965734541158,0.7600864553314121,0.8408308782716365,0.9040626529613314,0.9347165991902834,0.8753554502369668,0.9218842064813629
rolling_test_2022,gradient_boosting,0.732965734541158,0.7600864553314121,0.8010282794642984,0.9144322685940779,0.8999541073887104,0.9293838862559242,0.919356560351821
rolling_test_2023,dummy,0.7471307619943556,0.75729794933655,0.5,0.8618890719384953,0.75729794933655,1.0,
rolling_test_2023,logistic_regression,0.7471307619943556,0.75729794933655,0.8643842583239019,0.9025864964729594,0.9545293072824156,0.8560050971647022,0.9335341883075552
rolling_test_2023,random_forest,0.7471307619943556,0.75729794933655,0.8740169685930292,0.9221439108342895,0.949696151249156,0.8961452691940108,0.9398595682990303
