model,balanced_accuracy,f1,precision,recall,roc_auc,threshold,persistence,overall_active_rate,num_rows
random_forest,0.8572344280150274,0.8935607554805624,0.9293721427318354,0.8604416707529648,0.9281748894263081,70,3,0.6911163361275813,19564
dummy,0.5,0.7853282944371673,0.6471277067622713,1.0,,100,1,0.6503782457575138,19564
gradient_boosting,0.8433755402223689,0.8867251825898976,0.8916026995462792,0.8820383122064975,0.9241679023988086,100,1,0.6503782457575138,19564
logistic_regression,0.8469544735634483,0.8743720881228167,0.9138313430519928,0.8382032420661599,0.9194020372014314,100,1,0.6503782457575138,19564
random_forest,0.8526266126047103,0.8774307733217984,0.9195568896054324,0.8392229631281932,0.9238074565321278,100,1,0.6503782457575138,19564
dummy,0.5,0.7852221633003961,0.6469794938409362,1.0,,100,2,0.6501226742997342,19564
gradient_boosting,0.8455837453723967,0.8880798513005335,0.8934983735129944,0.8828316721063945,0.9249870810528646,100,2,0.6501226742997342,19564
logistic_regression,0.8469118199853796,0.8742815783406819,0.9138442961830638,0.8380305222437271,0.9193991590549085,100,2,0.6501226742997342,19564
random_forest,0.8535905764929869,0.8786774942190552,0.9194300488103676,0.8415860042322422,0.9235868709155711,100,2,0.6501226742997342,19564
dummy,0.5,0.7834724213358211,0.6446106167255906,1.0,,100,3,0.6476180740134941,19564
gradient_boosting,0.8468273891481094,0.8886150063301809,0.8932305177456845,0.8841658239533428,0.926565947320665,100,3,0.6476180740134941,19564
logistic_regression,0.8475981085238181,0.875020399151165,0.9126932906051214,0.8403493478652674,0.920809960512421,100,3,0.6476180740134941,19564
random_forest,0.8540107361220048,0.8792715195621136,0.918264391994541,0.8436379788049687,0.9249305204239939,100,3,0.6476180740134941,19564
